Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2011-07-13,467.86962890625,471.60276857103014,465.9321941994346,467.5861117244833,46996
2011-07-14,467.775146484375,470.37415976067723,464.3255239712929,467.1135679317758,50478
2011-07-15,471.0356750488281,475.3831208889825,468.0586294637546,469.94882079929727,84596
2011-07-18,467.113525390625,473.2094038748717,465.9321558271687,472.3587947155589,38774
2011-07-19,469.99609375,472.5478637510688,465.93219365855384,467.86962836312017,82459
2011-07-20,467.0662841796875,472.3587967734045,465.9321578570165,470.6576361314284,171408
2011-07-21,468.4839782714844,472.5478784896822,467.1608211380864,467.1608211380864,571310
2011-07-22,481.9515380859375,492.7728948114691,470.42135962315353,470.42135962315353,361104
2011-07-25,481.1009521484375,486.7242830722009,464.04198638534103,482.99114353900916,66933
2011-07-26,487.71661376953125,494.1905537832212,479.30526799210577,484.2670491504984,105092
2011-07-27,497.64013671875,503.7360156114615,487.71663172077564,488.4254535063452,154047
2011-07-28,504.3031005859375,512.2419284548062,492.39491646670484,496.411573654773,146994
2011-07-29,498.0654602050781,511.7221053281597,475.00512967556466,475.00512967556466,79764
2011-08-01,493.0091857910156,519.8026253130736,489.55956347667654,498.0654246181632,44675
2011-08-02,504.8701477050781,509.40659564712627,493.3872115755845,493.3872115755845,57621
2011-08-03,502.60186767578125,507.5636199621034,494.5685544503073,501.13698091853666,28242
2011-08-04,511.580322265625,519.6136362085784,497.3566426446208,501.1370256765989,89465
2011-08-05,506.99664306640625,513.3287963335737,474.9578730287501,496.1752848411521,73587
2011-08-08,496.0807800292969,505.62622398796645,491.6860617378309,505.62622398796645,40176
2011-08-09,487.2442321777344,496.1754009313144,481.24289564010274,486.58265343967616,58267
2011-08-10,491.2607727050781,502.1293741263589,482.3768781813076,491.4498033970445,140329
2011-08-11,487.9056701660156,491.4497791502724,482.56588506480864,489.79586162428586,63840
2011-08-12,488.0946044921875,496.1751598442691,484.83401333354294,490.4101001082716,55267
2011-08-16,500.1918640136719,505.38988999775347,482.9438687028556,489.60678138200285,68398
2011-08-17,508.74505615234375,518.7631062142161,501.8458683688329,501.8458683688329,90047
2011-08-18,501.32598876953125,516.0222142879909,498.15988379670586,509.17027096640123,26106
2011-08-19,489.7958984375,501.1842912927205,487.66943288712014,500.90077408948383,11031
2011-08-22,508.93408203125,522.9214881621474,484.5033789758009,490.5519574108562,92693
2011-08-23,519.5192260742188,523.7721576103627,500.3337909035402,509.6429624145805,89523
2011-08-24,518.1014404296875,523.5829835947702,511.8637746067506,520.2279056157673,31897
