Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,1057.6268396324112,887.4546424956004,9.29170011245178,-1.6352825252698304,50.80645161290322,0.5517241379310345,0.128,0.2077922077922078
SARIMA,1050.2833937540784,880.0029540147206,9.212723792647928,-1.5988143304724654,50.80645161290322,0.5517241379310345,0.128,0.2077922077922078
Random Forest,808.1165624918176,602.0899518944896,6.609754575553078,0.3243772263256199,52.43128964059197,0.5302491103202847,0.6157024793388429,0.5697896749521989
XGBoost,748.0509054030232,542.0496014882964,5.85653469987285,0.4210799773190499,51.58562367864693,0.5238095238095238,0.5909090909090909,0.5553398058252427
LSTM,511.4441489187762,352.7973295965596,3.6894027743458455,0.7293844819806312,50.95137420718816,0.532258064516129,0.4057377049180328,0.4604651162790698
CNN-LSTM,617.5639687547782,475.4048508092648,5.249847159151695,0.6054335386174282,50.7399577167019,0.5182724252491694,0.639344262295082,0.5724770642201835
ARIMA-LSTM,151.64197801541656,105.81793426081929,1.170256207599912,0.9752034337817644,51.012145748987855,0.5120350109409191,0.924901185770751,0.6591549295774648
