Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,229.5576768434968,191.3157712745388,20.13349940194029,-2.1060126776220627,44.75806451612903,0.5454545454545454,0.0863309352517985,0.1490683229813664
SARIMA,228.702845724839,190.45758653062617,20.03899949016412,-2.0829232933534607,43.95161290322581,0.5,0.0863309352517985,0.147239263803681
Random Forest,183.2948625451699,124.0337401763077,13.644243700810682,-0.4886974625616129,47.35729386892177,0.5942028985507246,0.1564885496183206,0.2477341389728097
XGBoost,183.4453153526562,125.35291209781332,13.846397990085888,-0.4911423825465066,47.780126849894295,0.6470588235294118,0.1259541984732824,0.2108626198083066
LSTM,76.59599687922343,52.615927040183344,5.944433722235591,0.740033125379165,46.51162790697674,0.5657894736842105,0.1634980988593156,0.2536873156342182
CNN-LSTM,57.57228595446285,39.85989843361032,4.5924786615532085,0.8531300946179006,50.10570824524313,0.6153846153846154,0.2737642585551331,0.3789473684210526
ARIMA-LSTM,14.37803081744838,10.37978366508401,1.3492328186950897,0.99069189608703,54.655870445344135,0.5504385964912281,0.9296296296296296,0.6914600550964186
