Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,378.91403854727326,319.5360595339189,8.022506541269195,-1.6268578846168968,52.016129032258064,0.5588235294117647,0.1544715447154471,0.2420382165605095
SARIMA,373.99076905790537,314.85399850287416,7.904554580243479,-1.5590392776441582,52.41935483870967,0.5714285714285714,0.1626016260162601,0.2531645569620253
Random Forest,252.30882834552472,180.200164080049,4.669729616558493,0.2170509839235581,52.21987315010571,0.5,0.3495575221238938,0.4114583333333333
XGBoost,318.2658919755762,226.17653178624408,5.811506428172339,-0.2458013179207796,52.21987315010571,0.5,0.247787610619469,0.3313609467455621
LSTM,151.63498527766342,119.21128969600768,3.203784791515004,0.7172078089325422,49.47145877378436,0.4708994708994709,0.3903508771929824,0.4268585131894484
CNN-LSTM,151.0429331874064,117.75144739981458,3.1623687592738468,0.7194117970225669,49.89429175475687,0.4769230769230769,0.4078947368421052,0.4397163120567375
ARIMA-LSTM,56.774848315526135,39.375080922765626,1.0851572472599669,0.9589101332734238,48.38056680161944,0.457286432160804,0.3823529411764705,0.4164759725400457
