Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,28.51499957612884,24.906063184802434,7.665957575901918,-0.0064134642054196,47.17741935483871,0.4258064516129032,0.6111111111111112,0.5019011406844106
SARIMA,29.356535337025043,26.192583489162946,8.178747596141656,-0.0666926359790445,45.96774193548387,0.4177215189873418,0.6111111111111112,0.4962406015037595
Random Forest,30.86613474317192,23.73539632204476,7.617090007005594,0.2431059796940637,53.06553911205074,0.5026737967914439,0.42152466367713,0.4585365853658537
XGBoost,39.15281727195536,30.3063891714037,9.453607889173949,-0.2178578891515947,54.12262156448203,0.5241935483870968,0.2914798206278027,0.3746397694524496
LSTM,17.57646516921309,12.945021358302748,3.9942374164034735,0.7545666071887897,55.17970401691332,0.5564516129032258,0.3053097345132743,0.3942857142857143
CNN-LSTM,20.61239356865585,15.974192394399026,4.900702616393354,0.6624583044226791,53.911205073995774,0.5714285714285714,0.1415929203539823,0.226950354609929
ARIMA-LSTM,5.573489163531038,4.142706712915255,1.37248915451509,0.97457140415701,47.97570850202429,0.4782608695652174,0.9788135593220338,0.6425591098748261
