Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,430.2569776292376,379.4956278837195,15.938090114785682,-1.1425212723399865,49.696969696969695,0.4937027707808564,0.8032786885245902,0.6115444617784711
SARIMA,429.5524188288733,378.9044882054058,15.911917997530889,-1.135510130889597,49.898989898989896,0.4949748743718593,0.8073770491803278,0.6137071651090343
Random Forest,62.67742709018359,50.21705876098376,2.0841409743413157,0.9521870914761972,49.68287526427061,0.4903047091412742,0.7662337662337663,0.5979729729729729
XGBoost,61.3139710582308,47.341267689045786,1.974106115916568,0.954244665826141,51.79704016913319,0.5040431266846361,0.8095238095238095,0.6212624584717608
LSTM,94.00481551764834,76.80422037660801,3.1150085375318737,0.8924468713646266,49.04862579281184,0.4916467780429594,0.8803418803418803,0.6309341500765697
CNN-LSTM,90.75252560864858,72.52771543958654,2.9370260145800997,0.8997601782935724,50.7399577167019,0.5012658227848101,0.8461538461538461,0.629570747217806
ARIMA-LSTM,35.74890231423124,25.70721403867685,1.0216002952173435,0.985182780167906,51.821862348178136,1.0,0.0205761316872428,0.0403225806451612
