Symbol,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ADANIENT,LSTM,105.90103007918717,77.93456366704619,2.9603706344396974,0.9221794912015864,51.67130919220055,0.5126903553299492,0.2869318181818182,0.3679417122040072
ADANIENT,CNN-LSTM,144.09377751371895,119.89682422792627,4.649925160915536,0.8559264853871402,47.77158774373259,0.4825493171471927,0.9034090909090908,0.629080118694362
ADANIPORTS,LSTM,220.62740670435755,191.28677942525064,13.490241310715678,0.1981524149859465,49.02506963788301,0.5348837209302325,0.062330623306233,0.1116504854368932
ADANIPORTS,CNN-LSTM,237.38013009566592,205.54330533027093,14.487661857921756,0.0717571084444964,49.16434540389972,0.53125,0.0921409214092141,0.1570438799076212
APOLLOHOSP,LSTM,855.418172939985,758.855288781167,10.652437417061726,0.0971329153187197,49.721448467966574,1.0,0.0055096418732782,0.010958904109589
APOLLOHOSP,CNN-LSTM,924.5719358221506,823.7756006749328,11.563292665343011,-0.0547469772067914,49.721448467966574,1.0,0.0055096418732782,0.010958904109589
ASIANPAINT,LSTM,74.47800119492827,57.03101901023757,2.2135619434093776,0.9481550811907092,52.22841225626741,0.5171102661596958,0.7534626038781164,0.6133032694475762
ASIANPAINT,CNN-LSTM,75.04425852451475,58.00431538631591,2.254427024574173,0.9473637289040387,52.089136490250695,0.5177453027139874,0.6869806094182825,0.5904761904761904
AXISBANK,LSTM,68.75072905707667,56.308849068186575,4.645632243332283,0.6045701293654399,50.0,0.5434782608695652,0.0688705234159779,0.1222493887530562
AXISBANK,CNN-LSTM,84.0641281007677,74.46705293888472,6.228668578209405,0.4087974717909052,49.44289693593314,0.0,0.0,0.0
BAJAJ-AUTO,LSTM,1353.8661955522784,1193.8334328459505,13.247037303431892,0.2708323715335956,46.10027855153203,0.6363636363636364,0.0179487179487179,0.0349127182044887
BAJAJ-AUTO,CNN-LSTM,1414.2839734781542,1236.997427451864,13.6917509214575,0.2043004164470223,46.239554317548745,0.6111111111111112,0.0282051282051282,0.0539215686274509
BAJAJFINSV,LSTM,74.10778130107255,57.52706355449546,3.0505560371364693,0.8443677425933437,51.67130919220055,0.555,0.3008130081300813,0.3901581722319859
BAJAJFINSV,CNN-LSTM,99.74129011175606,80.30476623614943,4.254155440597551,0.7180825508886728,50.0,0.5892857142857143,0.089430894308943,0.1552941176470588
BAJFINANCE,LSTM,57.14423951275491,43.02780551883303,4.791596245818932,0.7950606765185898,50.55710306406686,0.5714285714285714,0.1621621621621621,0.2526315789473684
BAJFINANCE,CNN-LSTM,73.15153753789322,54.605635088835406,6.01609080561263,0.6641639594606097,50.27855153203342,0.5730337078651685,0.1378378378378378,0.2222222222222222
BHARTIARTL,LSTM,504.5796165185113,441.07007821222993,25.30926707359425,-0.812185007980297,47.63231197771588,0.0,0.0,0.0
BHARTIARTL,CNN-LSTM,514.8359848615088,441.5311273961024,24.99045770773284,-0.8866047249281614,47.77158774373259,1.0,0.0026595744680851,0.0053050397877984
BPCL,LSTM,41.735275946995394,36.08479791643892,11.893447739870254,0.4724623927175431,49.58217270194986,0.5555555555555556,0.0410958904109589,0.0765306122448979
BPCL,CNN-LSTM,49.871129926760304,43.28761090786121,14.242606522669735,0.2467393810688696,49.86072423398329,0.5757575757575758,0.0520547945205479,0.0954773869346733
BRITANNIA,LSTM,276.9285957908066,233.537140209582,4.2215358017146745,0.7308994022862146,47.35376044568245,0.5862068965517241,0.0443864229765013,0.0825242718446602
BRITANNIA,CNN-LSTM,445.83016923461,416.9140959593201,7.699707388677223,0.302542156182489,46.37883008356546,0.3333333333333333,0.0052219321148825,0.0102827763496143
CIPLA,LSTM,113.51899175799468,100.98814143550756,6.917895809175907,0.1644925674472953,49.02506963788301,0.4545454545454545,0.0136986301369863,0.026595744680851
CIPLA,CNN-LSTM,128.43988085754742,114.89654348066934,7.866632497210542,-0.0695794627908923,49.44289693593314,0.5714285714285714,0.021917808219178,0.0422163588390501
COALINDIA,LSTM,70.38203046594784,64.09032355256204,16.020346751739414,-0.270528732270985,47.35376044568245,1.0,0.0026385224274406,0.0052631578947368
COALINDIA,CNN-LSTM,73.4505391339983,66.97119159897173,16.74728608742816,-0.3837284909642717,46.93593314763231,0.375,0.0079155672823219,0.0155038759689922
