Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,197.5734985885321,165.1346513211765,16.158349644463396,-2.2532666108904933,48.79032258064516,0.6470588235294118,0.0833333333333333,0.1476510067114093
SARIMA,197.0894255403756,164.62981969758255,16.106545587265323,-2.237344541670649,48.79032258064516,0.6470588235294118,0.0833333333333333,0.1476510067114093
Random Forest,121.55613068275134,83.00414887184328,8.593390040055658,0.0924839734559787,51.58562367864693,0.5327510917030568,0.5,0.5158562367864693
XGBoost,133.1956355966263,94.81251565116597,9.93167667600251,-0.0896337783324043,51.37420718816068,0.5289256198347108,0.5245901639344263,0.5267489711934156
LSTM,40.280261454330976,28.10154039711263,3.015820386886233,0.9003482027408037,50.7399577167019,0.5304347826086957,0.4939271255060729,0.5115303983228512
CNN-LSTM,59.37282571424037,40.3879674325908,4.170470093111181,0.783490971428843,49.2600422832981,0.5333333333333333,0.2267206477732793,0.3181818181818182
ARIMA-LSTM,12.713635740104085,8.762878304350654,1.0075792431301016,0.9897002006990736,51.21457489878543,0.5125523012552301,0.9683794466403162,0.6703146374829
