Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,388.4212094846527,306.4257187238803,9.36112219980066,-0.5028151958821307,52.323232323232325,0.56,0.2788844621513944,0.3723404255319149
SARIMA,390.7641208567949,308.4356047805358,9.41789540552387,-0.5209994852291697,52.323232323232325,0.5609756097560976,0.2749003984063745,0.3689839572192513
Random Forest,521.3684331430768,429.1691098416036,12.977515736925614,-1.7760945524353715,50.317124735729394,0.5476190476190477,0.0962343096234309,0.1637010676156584
XGBoost,520.5211718176846,427.4224026101936,12.91836375393032,-1.7670791757741071,50.7399577167019,0.6,0.0753138075313807,0.1338289962825279
LSTM,182.24567184902037,145.8646157975071,4.474561738408,0.6607973441498025,51.58562367864693,0.5714285714285714,0.2148760330578512,0.3123123123123123
CNN-LSTM,205.0386690311922,163.64768862292274,4.99945252445989,0.5706451767842502,52.00845665961945,0.5728155339805825,0.2438016528925619,0.3420289855072463
ARIMA-LSTM,54.99850182761744,42.39278616458877,1.388239569413566,0.9698240489862988,51.417004048583,0.5197132616487455,0.5776892430278885,0.5471698113207547
