Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,443.0667861310207,388.9516482372108,87.9317809906004,-2.7994407296853487,47.67676767676768,0.4640522875816993,0.9424778761061948,0.6218978102189782
SARIMA,443.88252190308094,389.7692971081427,88.09699838543533,-2.813444003821837,47.67676767676768,0.4638949671772429,0.9380530973451328,0.6207906295754027
Random Forest,102.22102263744664,76.72556421066197,11.60348623868587,0.7701925753943243,45.2431289640592,0.4366197183098591,0.7242990654205608,0.5448154657293498
XGBoost,127.87293712558628,92.75241919739864,13.906489520759212,0.6403824365243994,46.723044397463006,0.4486486486486487,0.7757009345794392,0.5684931506849314
LSTM,39.90721414402885,25.83332365983602,4.6510864103653535,0.9649743315017584,49.68287526427061,0.471976401179941,0.730593607305936,0.5734767025089605
CNN-LSTM,47.15620937491151,32.27915815689586,5.755525286952711,0.9510940854573308,48.625792811839325,0.4693877551020408,0.8401826484018264,0.602291325695581
ARIMA-LSTM,17.634324491218965,9.503211226232974,1.5901930928793042,0.9939612644034352,45.74898785425101,0.4558823529411764,0.9601769911504424,0.6182336182336182
