Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,191.73989567335892,143.17352377888676,10.869094325080155,-0.10886817980877,49.696969696969695,0.4837758112094395,0.6890756302521008,0.5684575389948007
SARIMA,192.39337171176317,143.9470784715219,10.937223913814815,-0.116439411483219,49.898989898989896,0.4853801169590643,0.6974789915966386,0.5724137931034482
Random Forest,133.0427385250088,105.54739591505744,7.645226886125795,0.481866671550718,47.99154334038055,0.4686567164179104,0.6977777777777778,0.5607142857142857
XGBoost,137.22677193477065,108.82734285314892,7.740963725763783,0.448764889409363,47.56871035940804,0.4662756598240469,0.7066666666666667,0.5618374558303887
LSTM,68.6345347764178,49.75028887661823,3.362443005035689,0.8621062550275433,53.06553911205074,0.5392156862745098,0.2391304347826087,0.3313253012048193
CNN-LSTM,68.75028136572814,56.34737855993331,4.065677526652438,0.8616407695701062,48.20295983086681,0.4789915966386555,0.7434782608695653,0.5826235093696763
ARIMA-LSTM,26.228572200837647,19.144874007910445,1.3974133482240982,0.9792860662362824,46.15384615384615,0.4698544698544699,0.9535864978902954,0.6295264623955432
