Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,1465.9441596285965,1346.6737904502895,18.753877757711518,-4.500018404515023,49.193548387096776,0.5555555555555556,0.078125,0.136986301369863
SARIMA,1460.687743542787,1341.6610198937044,18.683949932062102,-4.460646436304414,48.79032258064516,0.5263157894736842,0.078125,0.1360544217687074
Random Forest,1644.586421572377,1261.1144217015724,18.44145645280969,-1.3317359667184907,50.95137420718816,0.5483870967741935,0.1428571428571428,0.2266666666666666
XGBoost,1696.4139037574853,1313.4176453179266,19.2764661670894,-1.4810163014496114,52.00845665961945,0.6078431372549019,0.1302521008403361,0.2145328719723183
LSTM,553.6848213855413,429.0654726364218,6.3831262217197935,0.7357036317535224,49.47145877378436,0.5172413793103449,0.0625,0.1115241635687732
CNN-LSTM,787.3495326291211,603.4222987926898,8.875966148470114,0.4655573515623992,49.2600422832981,0.5,0.0458333333333333,0.0839694656488549
ARIMA-LSTM,101.66141881319088,70.30262253189761,1.165412792819254,0.9912320105705672,50.0,0.5714285714285714,0.0161290322580645,0.0313725490196078
