Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,1169.3134820059731,1077.7914937510436,19.937067190191616,-5.565475633374958,49.596774193548384,0.8,0.03125,0.0601503759398496
SARIMA,1174.07937515444,1082.8489807907138,20.03382661870969,-5.619103890477134,49.596774193548384,1.0,0.0234375,0.0458015267175572
Random Forest,488.95612134564334,391.451425832865,8.426290327940015,0.5373878530868806,48.625792811839325,0.4903846153846153,0.4267782426778242,0.4563758389261745
XGBoost,412.7113493082829,329.8912880889361,7.148902180455739,0.6704129944609623,49.47145877378436,0.5,0.5230125523012552,0.5112474437627812
LSTM,153.26862376746888,119.77378350928598,2.504315495406884,0.9545447790631292,51.58562367864693,0.5192307692307693,0.5648535564853556,0.5410821643286573
CNN-LSTM,165.3965574616738,125.28713380230464,2.545671794000593,0.9470665513651704,50.317124735729394,0.5114942528735632,0.3723849372384937,0.4309927360774818
ARIMA-LSTM,78.49290756517432,59.26561839374173,1.241428870951205,0.9876441338800668,55.06072874493927,0.5460750853242321,0.642570281124498,0.5904059040590406
