Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,255.76959992936423,201.04577432835276,16.37868807062259,-1.2447119215180082,47.17741935483871,0.4460093896713615,0.8796296296296297,0.5919003115264797
SARIMA,256.4969329506583,201.7480127447588,16.433680051947967,-1.2574966660326266,47.58064516129033,0.4485981308411215,0.8888888888888888,0.5962732919254659
Random Forest,80.87472953923742,54.78265958048095,3.3343639814760246,0.8658335306590002,47.99154334038055,0.4509803921568627,0.2987012987012987,0.359375
XGBoost,99.27194991830788,68.01933371305593,4.107316374318814,0.7978510855321477,47.99154334038055,0.4489795918367347,0.2857142857142857,0.3492063492063492
LSTM,52.64896098952478,40.946910602270194,2.7267044827636413,0.9431411697504918,50.52854122621564,0.5,0.4829059829059829,0.4913043478260869
CNN-LSTM,58.146966492185264,44.81178327743928,2.856176290535778,0.9306458527518418,52.00845665961945,0.5304347826086957,0.2606837606837607,0.349570200573066
ARIMA-LSTM,25.663017075677505,18.428811238138337,1.238278685822569,0.9862613112228642,46.558704453441294,0.4586466165413533,0.5041322314049587,0.4803149606299212
