Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,70.04889249797422,53.51172933163844,17.649086753547156,-1.3413076703878255,46.37096774193548,0.4537444933920704,0.9196428571428572,0.6076696165191741
SARIMA,69.9946236721836,53.4523527457483,17.630930005243314,-1.3376813232724936,46.37096774193548,0.4537444933920704,0.9196428571428572,0.6076696165191741
Random Forest,20.59428728973526,14.158988555843672,4.245557777433438,0.8347321159401602,52.64270613107822,0.4767441860465116,0.3796296296296296,0.422680412371134
XGBoost,20.832574601420536,15.762040712761898,4.485230553740783,0.8308855083229403,52.00845665961945,0.4580152671755725,0.2777777777777778,0.345821325648415
LSTM,9.410793728973749,6.799333106384182,1.812026720015633,0.965489802779148,54.7568710359408,0.515,0.4681818181818182,0.4904761904761905
CNN-LSTM,10.473592419861737,7.505623064961804,2.008045065226977,0.957254906535352,53.06553911205074,0.4953703703703703,0.4863636363636364,0.4908256880733945
ARIMA-LSTM,4.452339517776362,3.073399853557909,0.8184331288589898,0.99230326960739,54.04858299595142,0.6,0.0391304347826087,0.073469387755102
