Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,152.97174767477026,126.60047576348283,5.543372499244155,-0.0356510034316481,53.62903225806451,0.4848484848484848,0.5765765765765766,0.5267489711934157
SARIMA,154.01332050313897,127.035384998875,5.573923020278789,-0.0498023532603417,53.62903225806451,0.4852941176470588,0.5945945945945946,0.5344129554655871
Random Forest,57.17187847957749,34.440947706936214,1.3937397672598495,0.8947515571437903,53.48837209302325,0.5052083333333334,0.4369369369369369,0.4685990338164251
XGBoost,65.51247975571569,38.97780664326013,1.5684758669896648,0.8618029309711815,51.37420718816068,0.4787234042553192,0.4054054054054054,0.4390243902439025
LSTM,58.21706416623982,46.29412811400036,1.992813938164788,0.8908681914046204,51.16279069767442,0.4916201117318435,0.7822222222222223,0.6037735849056604
CNN-LSTM,69.70663517482234,55.78965595179659,2.305804493973562,0.8435415620178354,52.85412262156448,0.5131578947368421,0.1733333333333333,0.2591362126245847
ARIMA-LSTM,29.75031196240776,21.86779937661826,0.9266797035334876,0.972491654608882,48.58299595141701,0.4787234042553192,0.9615384615384616,0.6392045454545455
