Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,114.92120969939072,86.71315810615229,13.824176757304562,-1.3075876167777616,43.95161290322581,0.4362139917695473,0.9814814814814816,0.6039886039886041
SARIMA,114.52535398427882,86.21124103774173,13.751079954366626,-1.2917176397090089,43.54838709677419,0.4333333333333333,0.9629629629629628,0.5977011494252873
Random Forest,29.01331147883244,21.48462581530914,2.9262433504858327,0.8363691760720995,54.32098765432099,0.5050505050505051,0.2688172043010752,0.3508771929824561
XGBoost,39.10298031735191,29.328485720515367,3.968158911762712,0.7027716470740013,51.60493827160494,0.4404761904761904,0.1989247311827957,0.274074074074074
LSTM,17.53966845207879,13.724797013047676,1.973404381488857,0.9401983336060932,54.32098765432099,0.5148514851485149,0.2765957446808511,0.3598615916955017
CNN-LSTM,16.831594039077387,13.353211909607634,1.923345486269384,0.9449292460650984,52.59259259259259,0.4836065573770491,0.3138297872340425,0.3806451612903225
ARIMA-LSTM,9.827840523286886,7.627912314089277,1.1190049703024827,0.9803780414947916,45.539906103286384,0.4553990610328638,1.0,0.6258064516129032
