Symbol,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ADANIENT,ARIMA,685.6273913989527,602.191947901549,26.127746980393106,-3.164270342854404,47.474747474747474,0.4693446088794926,0.961038961038961,0.6306818181818181
ADANIENT,SARIMA,683.0754111474674,599.6116004608446,26.02007883207201,-3.1333282943646346,47.67676767676768,0.4703389830508475,0.961038961038961,0.6315789473684211
ADANIENT,Random Forest,95.37211063401254,68.46543446192022,2.8652085873819235,0.9105661280225488,48.20295983086681,0.4689826302729528,0.8590909090909091,0.6067415730337079
ADANIENT,XGBoost,87.9517135273432,63.98154131908785,2.683100391337488,0.9239414825220592,50.10570824524313,0.478494623655914,0.8090909090909091,0.6013513513513513
ADANIENT,LSTM,92.48891741284834,68.61671528543579,2.82590541286227,0.9158917415291872,46.93446088794926,0.4513888888888889,0.5829596412556054,0.5088062622309197
ADANIENT,CNN-LSTM,100.38560435507712,75.27932396852147,3.0899841327187088,0.9009163208230396,46.723044397463006,0.4536741214057508,0.6367713004484304,0.5298507462686567
ADANIENT,ARIMA-LSTM,62.255077031793135,41.96352226840747,1.717987764636024,0.9655261545286484,46.558704453441294,0.4618937644341801,0.8658008658008658,0.6024096385542169
ADANIPORTS,ARIMA,191.73989567335892,143.17352377888676,10.869094325080155,-0.10886817980877,49.696969696969695,0.4837758112094395,0.6890756302521008,0.5684575389948007
ADANIPORTS,SARIMA,192.39337171176317,143.9470784715219,10.937223913814815,-0.116439411483219,49.898989898989896,0.4853801169590643,0.6974789915966386,0.5724137931034482
ADANIPORTS,Random Forest,133.0427385250088,105.54739591505744,7.645226886125795,0.481866671550718,47.99154334038055,0.4686567164179104,0.6977777777777778,0.5607142857142857
ADANIPORTS,XGBoost,137.22677193477065,108.82734285314892,7.740963725763783,0.448764889409363,47.56871035940804,0.4662756598240469,0.7066666666666667,0.5618374558303887
ADANIPORTS,LSTM,68.6345347764178,49.75028887661823,3.362443005035689,0.8621062550275433,53.06553911205074,0.5392156862745098,0.2391304347826087,0.3313253012048193
ADANIPORTS,CNN-LSTM,68.75028136572814,56.34737855993331,4.065677526652438,0.8616407695701062,48.20295983086681,0.4789915966386555,0.7434782608695653,0.5826235093696763
ADANIPORTS,ARIMA-LSTM,26.228572200837647,19.144874007910445,1.3974133482240982,0.9792860662362824,46.15384615384615,0.4698544698544699,0.9535864978902954,0.6295264623955432
APOLLOHOSP,ARIMA,1095.6858086953769,956.851836796535,12.761277813767812,-3.0117046763427995,50.90909090909091,0.5,0.0329218106995884,0.0617760617760617
APOLLOHOSP,SARIMA,1095.3126749902835,956.405923181696,12.755056374274291,-3.0089727848933494,50.90909090909091,0.5,0.0329218106995884,0.0617760617760617
APOLLOHOSP,Random Forest,931.6311471315196,786.2814622526583,10.3915259987241,-2.033282678317019,52.21987315010571,0.8,0.0174672489082969,0.0341880341880341
APOLLOHOSP,XGBoost,957.3815983234134,813.0196475847346,10.755767596746606,-2.203280993268211,52.43128964059197,0.75,0.0262008733624454,0.050632911392405
APOLLOHOSP,LSTM,331.9019363646618,285.91963997219875,3.834195427209245,0.6150144407463962,50.7399577167019,0.5,0.0472103004291845,0.0862745098039215
APOLLOHOSP,CNN-LSTM,323.01137925660305,255.74910094883987,3.387910397071205,0.635363187350834,51.37420718816068,0.5238095238095238,0.1416309012875536,0.222972972972973
APOLLOHOSP,ARIMA-LSTM,93.04869990670689,66.62386096697288,0.9260091539151905,0.9709704959538212,51.012145748987855,0.5,0.7355371900826446,0.5953177257525084
ASIANPAINT,ARIMA,430.2569776292376,379.4956278837195,15.938090114785682,-1.1425212723399865,49.696969696969695,0.4937027707808564,0.8032786885245902,0.6115444617784711
ASIANPAINT,SARIMA,429.5524188288733,378.9044882054058,15.911917997530889,-1.135510130889597,49.898989898989896,0.4949748743718593,0.8073770491803278,0.6137071651090343
ASIANPAINT,Random Forest,62.67742709018359,50.21705876098376,2.0841409743413157,0.9521870914761972,49.68287526427061,0.4903047091412742,0.7662337662337663,0.5979729729729729
ASIANPAINT,XGBoost,61.3139710582308,47.341267689045786,1.974106115916568,0.954244665826141,51.79704016913319,0.5040431266846361,0.8095238095238095,0.6212624584717608
ASIANPAINT,LSTM,94.00481551764834,76.80422037660801,3.1150085375318737,0.8924468713646266,49.04862579281184,0.4916467780429594,0.8803418803418803,0.6309341500765697
ASIANPAINT,CNN-LSTM,90.75252560864858,72.52771543958654,2.9370260145800997,0.8997601782935724,50.7399577167019,0.5012658227848101,0.8461538461538461,0.629570747217806
ASIANPAINT,ARIMA-LSTM,35.74890231423124,25.70721403867685,1.0216002952173435,0.985182780167906,51.821862348178136,1.0,0.0205761316872428,0.0403225806451612
AXISBANK,ARIMA,144.2749930981502,118.08206193364188,10.587432228087025,-0.9842930745832394,52.121212121212125,0.5048543689320388,0.8630705394190872,0.6370597243491577
AXISBANK,SARIMA,141.80733374953985,115.76598595189452,10.37898248355572,-0.91699542004629,51.91919191919192,0.5036855036855037,0.8506224066390041,0.6327160493827161
AXISBANK,Random Forest,71.26834383011241,51.92025202357998,4.162791914324535,0.5260225941963023,49.89429175475687,0.4886877828054298,0.4655172413793103,0.4768211920529801
AXISBANK,XGBoost,69.3765822874876,48.27719863105632,3.857917356619361,0.5508513392029704,51.37420718816068,0.5069444444444444,0.3146551724137931,0.3882978723404255
AXISBANK,LSTM,42.73334151003149,33.654080795911625,2.747429037695189,0.8295888422123717,50.95137420718816,0.5230769230769231,0.1446808510638297,0.2266666666666666
AXISBANK,CNN-LSTM,34.00669245661704,25.94817937902991,2.132729144240028,0.8920821939464105,51.79704016913319,0.5275590551181102,0.2851063829787234,0.3701657458563536
AXISBANK,ARIMA-LSTM,17.416079479225836,12.312920729620114,1.0319147379872329,0.9710868788210164,53.44129554655871,0.526595744680851,0.4125,0.4626168224299065
BAJAJ-AUTO,ARIMA,972.1456729531316,772.0847628144096,8.665365331284054,-0.0211057881445675,51.51515151515152,0.5228758169934641,0.6299212598425197,0.5714285714285714
BAJAJ-AUTO,SARIMA,973.2442964467784,773.868299832448,8.691872688204827,-0.0234149990370147,51.51515151515152,0.5228758169934641,0.6299212598425197,0.5714285714285714
BAJAJ-AUTO,Random Forest,808.1165624918176,602.0899518944896,6.609754575553078,0.3243772263256199,52.43128964059197,0.5302491103202847,0.6157024793388429,0.5697896749521989
BAJAJ-AUTO,XGBoost,748.0509054030232,542.0496014882964,5.85653469987285,0.4210799773190499,51.58562367864693,0.5238095238095238,0.5909090909090909,0.5553398058252427
BAJAJ-AUTO,LSTM,511.4441489187762,352.7973295965596,3.6894027743458455,0.7293844819806312,50.95137420718816,0.532258064516129,0.4057377049180328,0.4604651162790698
BAJAJ-AUTO,CNN-LSTM,617.5639687547782,475.4048508092648,5.249847159151695,0.6054335386174282,50.7399577167019,0.5182724252491694,0.639344262295082,0.5724770642201835
BAJAJ-AUTO,ARIMA-LSTM,151.64197801541656,105.81793426081929,1.170256207599912,0.9752034337817644,51.012145748987855,0.5120350109409191,0.924901185770751,0.6591549295774648
BAJAJFINSV,ARIMA,334.43215110899274,294.7112380158698,15.10894897864268,-3.313828203072857,51.11111111111111,0.5833333333333334,0.056910569105691,0.1037037037037037
BAJAJFINSV,SARIMA,333.6766423292212,293.92700644036427,15.067531827005157,-3.2943596576677168,51.11111111111111,0.5833333333333334,0.056910569105691,0.1037037037037037
BAJAJFINSV,Random Forest,156.74957109119754,121.8316884001719,6.111781618737665,-0.0471077808644209,50.10570824524313,0.4838709677419355,0.1282051282051282,0.2027027027027027
BAJAJFINSV,XGBoost,202.5465143406153,164.00386628555776,8.270854056082491,-0.7483493318976964,50.317124735729394,0.4615384615384615,0.0256410256410256,0.048582995951417
BAJAJFINSV,LSTM,159.52454140140023,143.3826009204405,7.38812131857232,-0.0845102819308014,49.47145877378436,0.3333333333333333,0.0084388185654008,0.0164609053497942
BAJAJFINSV,CNN-LSTM,100.67952622743438,84.70737964775768,4.34364135824631,0.5680226353903133,50.7399577167019,0.527027027027027,0.1645569620253164,0.2508038585209003
BAJAJFINSV,ARIMA-LSTM,28.832897857972696,21.51647307361071,1.1564395471350566,0.9677864867119176,50.80971659919028,0.5714285714285714,0.0326530612244898,0.0617760617760617
BAJFINANCE,ARIMA,205.64149489960843,175.0832489391748,18.86119699335069,-1.8994142330363029,49.898989898989896,0.5443037974683544,0.1686274509803921,0.2574850299401197
BAJFINANCE,SARIMA,204.55597868931724,174.17159011924312,18.766702404417515,-1.8688848479883295,50.1010101010101,0.5487804878048781,0.1764705882352941,0.2670623145400593
BAJFINANCE,Random Forest,145.55081767026783,118.71106104651194,12.550299177158964,-0.5717522107497863,48.625792811839325,0.5254237288135594,0.1260162601626016,0.2032786885245901
BAJFINANCE,XGBoost,153.9554402802087,126.45852923710838,13.386976049561374,-0.7585100751531153,49.04862579281184,0.5409836065573771,0.1341463414634146,0.2149837133550488
BAJFINANCE,LSTM,73.86223897021381,61.87343345658008,6.647175853231581,0.5952380101889638,47.99154334038055,0.5625,0.1071428571428571,0.18
BAJFINANCE,CNN-LSTM,85.37196322087864,70.77927831150524,7.567904834939808,0.4592639514693354,48.837209302325576,0.578125,0.1468253968253968,0.2341772151898734
