Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
ARIMA,255.31082328741195,191.66418907316137,22.61021291379961,-1.2382814459550318,49.494949494949495,0.5357142857142857,0.0595238095238095,0.1071428571428571
SARIMA,255.59335241098077,192.00330422866787,22.65701703585935,-1.2432379893984105,49.292929292929294,0.5185185185185185,0.0555555555555555,0.100358422939068
Random Forest,249.05085696137735,185.4420894230848,21.564880147803304,-1.1427378134851622,49.89429175475687,0.5625,0.0746887966804979,0.1318681318681318
XGBoost,242.7478767606179,177.92855666743034,20.559165587605342,-1.035653390218949,50.52854122621564,0.5853658536585366,0.0995850622406639,0.1702127659574468
LSTM,116.26157027708356,79.93560757245638,9.058533517336311,0.5330554431215739,50.317124735729394,0.547945205479452,0.1652892561983471,0.2539682539682539
CNN-LSTM,110.13896312256138,75.5356959203234,8.55544644857305,0.5809412476912323,51.58562367864693,0.5844155844155844,0.1859504132231405,0.2821316614420062
ARIMA-LSTM,17.234773792207342,12.131444475760771,1.661971446078884,0.989793553922799,50.40485829959515,0.5089974293059126,0.7857142857142857,0.6177847113884556
