Date,Close,High,Low,Open,Volume,SMA_50,EMA_20,RSI_14,MACD,BB_up,BB_low
2016-09-19,1069.2381591796875,1076.956985950059,1063.3571429655449,1063.3571429655449,550698,1018.4427185058594,1058.5607920424384,59.51367411310974,15.514279555171015,1107.652962385275,1004.7582863940219
2016-09-20,1070.5704345703125,1078.5188739703656,1068.3190497664957,1069.6055393442434,966451,1021.7020764160156,1059.7045675212835,63.18136455916857,14.663425480021488,1107.9433115629736,1009.2049184174953
2016-09-21,1075.670166015625,1080.632275428839,1071.351357402302,1071.351357402302,615798,1024.6407312011718,1061.2251007112206,57.05195099383008,14.236513536666735,1108.21423673009,1014.1441800179566
2016-09-22,1095.3349609375,1099.9294867803587,1079.7135730717807,1086.4216256707707,913747,1027.6767932128905,1064.473658828009,59.332250422814994,15.308500486077719,1111.8894129234784,1016.510825113631
2016-09-23,1094.5997314453125,1105.902309262567,1088.9025645834165,1103.6050464680873,668223,1030.814853515625,1067.3428086010856,59.3809535591459,15.915269669446616,1113.8728989157428,1021.1755935158977
2016-09-26,1087.0645751953125,1098.0914347915457,1079.6214674020584,1098.0914347915457,817715,1034.0034521484374,1069.2210720862502,54.28809503618793,15.608192950781813,1111.3351182712581,1030.7981214748356
2016-09-27,1095.84033203125,1105.442845546847,1088.1673846382998,1088.1673846382998,532323,1037.218702392578,1071.7562397000597,46.211687369630326,15.889795007677321,1111.5339038426107,1036.9627392237956
2016-09-28,1096.7132568359375,1103.6050452115298,1091.751146771304,1096.2538042775648,566690,1040.2988732910155,1074.1330984749052,56.41223153245336,15.998978141998805,1107.2492878114879,1048.7502117002307
2016-09-29,1072.683837890625,1105.7644212389728,1065.9299078912104,1097.494275401886,1125599,1042.850672607422,1073.9950736573546,44.84272740015023,13.985319221490727,1105.9630021776695,1051.9799665723306
2016-09-30,1066.5731201171875,1084.2620435478525,1062.2543109531791,1072.3622671992734,478253,1045.2398278808594,1073.2882209392435,46.15393863058594,11.760824698180386,1105.8143076364306,1052.3859487112256
