Date,Close,High,Low,Open,Volume,SMA_50,EMA_20,RSI_14,MACD,BB_up,BB_low
2016-09-19,1142.459228515625,1144.260490211938,1104.5384169095955,1112.21735811479,1267795,1107.1302416992187,1127.1217072596096,61.46206969063406,7.155973944070638,1165.3790903139197,1090.273814959518
2016-09-20,1122.740234375,1144.3076913360171,1120.6545207502984,1142.743435048768,948837,1108.6262158203126,1126.704424127742,57.40789155875007,5.988253871615598,1165.2613988320709,1090.0265039999604
2016-09-21,1123.4039306640625,1130.5140821239615,1120.5598700801029,1123.7831618869482,1050601,1109.7316064453125,1126.3900914169153,56.54574281985041,5.058075696921151,1165.209714022124,1089.9122830481883
2016-09-22,1156.205322265625,1162.2726742156888,1135.728110693634,1135.728110693634,1207430,1111.5356884765624,1129.2296372120306,58.404616561037884,6.888296961921242,1168.768968411401,1089.2350110807868
2016-09-23,1157.3431396484375,1166.7284473175575,1146.3460124328874,1156.584677176632,1080432,1113.3483056640625,1131.9071136345456,59.24707045864158,8.334497949801744,1172.3294706671463,1089.2817353875412
2016-09-26,1139.1884765625,1151.180955027901,1134.0216971277398,1146.1564017656792,835969,1115.19220703125,1132.6005767705412,52.27164263110154,7.9243461363025745,1173.1290530349954,1090.3402706954732
2016-09-27,1145.7772216796875,1151.7023480905384,1130.9881293032286,1139.4255324573055,933054,1116.98396484375,1133.855495333317,44.93796288073884,8.038294085087955,1173.4025422320176,1094.3376066937637
2016-09-28,1158.5283203125,1161.561939156335,1137.71920409963,1144.1657887992055,802709,1118.7899487304687,1136.2052881884772,51.35288047564203,9.05314670985831,1173.6116929481927,1100.432826094776
2016-09-29,1135.5860595703125,1167.8661961191262,1128.333681345124,1162.2728533697918,1750323,1120.0593505859374,1136.1463140343662,44.732454873803825,7.9149375480099025,1170.967952256217,1106.6553509664395
2016-09-30,1133.784912109375,1144.1658045675583,1120.1335113988398,1128.1442372133652,752725,1121.7430346679687,1135.9214186129384,44.743282537373304,6.789298235740489,1170.8265861935536,1107.7210578494153
2016-10-03,1168.814208984375,1175.5451297273037,1131.8414186139196,1138.5723393568485,1151991,1123.9121069335938,1139.05406531498,58.374660435677086,8.624376038255832,1174.7280253553988,1108.4364765977264
2016-10-04,1160.6612548828125,1172.7010659391035,1151.8920674455153,1170.7102465307971,1229639,1125.5739892578124,1141.1118928928688,57.723143073115914,9.313453464737222,1176.8424884045592,1109.3699139391908
2016-10-05,1152.697998046875,1168.909123327557,1146.9150968996912,1165.2118207170154,278544,1127.0348901367188,1142.2153314789646,57.76192473023647,9.111947159942929,1175.317340561993,1109.8475276020697
2016-10-06,1158.6229248046875,1170.5205090257348,1142.885812436436,1151.8445571464144,570718,1128.2824853515624,1143.7779594147476,62.00824413380048,9.322875726212033,1175.9762768890787,1109.6720873687336
2016-10-07,1157.3905029296875,1164.1688708848326,1145.350692004562,1159.428769619015,488607,1129.5035375976563,1145.074392130456,54.269428785842685,9.283576695782585,1176.1403174462323,1109.6265648779865
2016-10-10,1157.5802001953125,1168.0084231943365,1153.0296565965953,1167.960975890652,506484,1130.3140966796875,1146.2654214699664,61.214578334935176,9.162123656711856,1176.5657936320686,1109.5234275593375
2016-10-13,1153.124267578125,1180.8538565152337,1146.630352801124,1173.980710539369,2865576,1131.2251342773438,1146.9186449088386,59.33864035097813,8.607097463969922,1177.5217387084117,1110.5156392212757
2016-10-14,1155.3050537109375,1163.837237090163,1142.980788829834,1160.3769395746706,1309888,1132.0404345703125,1147.7173505090384,49.6497145945761,8.248127147328205,1178.3511176954398,1112.4307792772165
2016-10-17,1146.1563720703125,1157.5326139767176,1137.6241906405087,1157.5326139767176,794646,1132.2006469726562,1147.5686858958263,45.90275927313567,7.1430774846407985,1177.3833593357074,1116.038772011949
2016-10-18,1147.8154296875,1155.968380067409,1142.3643136679227,1149.948475086465,1291073,1132.5390893554688,1147.592185304557,53.59395691238662,6.328241718554409,1173.6254566266782,1123.6930492326967
2016-10-19,1148.3369140625,1153.740582910157,1139.5202799161943,1153.4561305602288,520312,1133.1628881835939,1147.6631118529326,51.12313511579502,5.6593208067365595,1173.7498477005802,1124.1564267134822
2016-10-20,1144.07080078125,1157.2956360168505,1139.5677049212622,1147.2939768167244,1014093,1133.9307861328125,1147.3209869889629,43.14601721771216,4.730427057870884,1171.7095192048082,1128.3298118498792
2016-10-21,1160.6612548828125,1162.5572954097956,1139.615135598221,1147.1045188248306,1005741,1134.683515625,1148.591488693139,62.649391595645106,5.272208327598037,1170.0633602522755,1133.7017032242868
2016-10-24,1153.124267578125,1160.4240920496288,1149.3796343364927,1157.532584349047,653636,1135.1376123046875,1149.0231819202804,59.222211356217144,5.035357533676006,1169.8070079436288,1133.6499500641835
2016-10-25,1146.4407958984375,1156.3950073190017,1142.2220368613205,1152.792484514847,1022585,1135.5746459960938,1148.7772403943907,35.378044130012654,4.259253244517822,1169.2064456373187,1133.1602779954937
2016-10-26,1139.4256591796875,1153.740743035345,1136.0601407139743,1139.7574431505698,501178,1136.4051147460937,1147.8866136120382,35.91213732025953,3.043043784057545,1169.1853547973496,1133.2050870971816
2016-10-27,1117.76318359375,1138.0507218506032,1110.22635410477,1135.4436664860427,1173549,1136.6819360351562,1145.0177155150584,30.388601533354716,0.32743383200886456,1173.129247802269,1126.4597902836683
2016-10-28,1137.4346923828125,1139.5202905513431,1111.0796842979817,1116.767805548654,788007,1137.1749072265625,1144.2955228357969,39.6958637180708,-0.2346750741098731,1172.3179694115654,1125.1617058814033
