Date,Open,High,Low,Close,Volume,SMA_50,EMA_20,RSI_14,MACD,BB_up,BB_low
2025-11-27,1530.8728564928056,1540.954739594805,1519.3227449478784,1533.2220458984375,7552252,1455.8849072265625,1490.2723061057864,66.36229640959397,18.856085815960796,1547.2657995203506,1421.7466150304306
2025-11-28,1531.8516566735827,1535.179665000364,1524.0211050739736,1527.055419921875,4453221,1457.2863256835938,1493.7754598025567,59.57270094138396,19.42364866642106,1552.3300166243862,1423.1719609146762
2025-12-01,1529.4045743430058,1540.6609920101705,1523.042251313739,1530.872802734375,5341800,1458.5500708007812,1497.3085400817774,57.310164900863626,19.95148886004199,1556.624455164745,1426.8744584094738
2025-12-02,1533.8093151456649,1546.4361036663386,1523.1401645511503,1527.9364013671875,6335969,1459.4041723632813,1500.2254792518165,52.19236300818123,19.903428630766484,1559.6902834560144,1431.1987180088292
2025-12-03,1522.1613705980965,1552.406900951154,1521.182551618934,1545.261474609375,12895312,1460.6124877929688,1504.514621666822,58.39016915201677,21.02101203021789,1562.530336289999,1439.2039776748447
2025-12-04,1534.788091787157,1565.1314788059085,1534.788091787157,1563.7611083984375,12609619,1462.9755419921876,1510.1571442126901,73.72370160552377,23.13281012942616,1566.9931552675216,1447.5539028379471
2025-12-05,1575.8985332981872,1597.2368345243185,1566.1103436503722,1581.9671630859375,10344725,1465.741279296875,1516.99619362919,75.42132559995656,25.976065878755207,1575.2691501184715,1452.9226345494974
2025-12-08,1582.8481284293375,1595.4749170068917,1566.306063981828,1576.681640625,7550413,1468.4572216796876,1522.6805219145053,81.44592624724474,27.48602724241391,1584.0256535729513,1453.6900446692362
2025-12-09,1567.2848235795727,1572.8641631737528,1548.883099378693,1565.1314697265625,6957599,1471.1311157226562,1526.7234693251773,68.68945561581367,27.43443317084757,1589.728947420604,1454.7112259192395
2025-12-10,1573.9408513587562,1573.9408513587562,1549.2746619298632,1551.2322998046875,5116140,1474.2192211914062,1529.057643656559,64.68085525772133,25.972601660372902,1592.5509054582508,1455.1291604597182
2025-12-11,1564.1527099609375,1573.353632151773,1547.023378030827,1564.1527099609375,5159319,1477.7026318359376,1532.4000309236426,65.66194550418359,25.56199599756087,1597.202027624579,1455.9790026488586
2025-12-12,1567.4806809838458,1567.8722324584342,1549.0788370408115,1564.348388671875,4633912,1481.1899560546874,1535.4427316615695,65.08410934777314,24.964601304235202,1598.6614381633158,1463.8575193562156
2025-12-15,1551.4280562362142,1576.6816332735752,1551.4280562362142,1572.766357421875,4190558,1484.768515625,1538.9973626863605,74.17514894600278,24.883579022521417,1600.5803348260176,1471.648510388826
2025-12-16,1566.1103574156468,1569.0468143358012,1552.0153403019583,1559.1607666015625,5499258,1488.0595385742188,1540.9176868687607,62.135929047406954,23.45118020049813,1593.9123940426891,1488.740877441686
2025-12-17,1553.581424584382,1572.8642300238714,1552.4068896118622,1568.0679931640625,4817628,1490.9618383789064,1543.503430325456,62.292821486276516,22.772228482240962,1595.7946390562797,1492.8196431702827
2025-12-18,1576.3879761796316,1595.4749463972676,1572.6684162407605,1592.3427734375,6577293,1494.6870556640624,1548.1547963361268,70.42258469029753,23.917223385963325,1600.800564636336,1496.6524627074139
2025-12-19,1615.0513027562847,1619.847539612933,1595.2792073285575,1603.9906005859375,13149023,1497.94146484375,1553.4724919789658,71.80388259747446,25.47090961142203,1607.9603372979934,1498.6642232488814
2025-12-22,1628.7547583833573,1657.3362243784013,1628.7547583833573,1653.8125,23098923,1501.9165893554687,1563.028683219064,79.33395196202204,30.372314902445623,1628.1022135958822,1492.3824177517743
