Date,Open,High,Low,Close,Volume,SMA_50,EMA_20,RSI_14,MACD,BB_up,BB_low
2025-11-27,969.2295646138848,971.0467846498852,951.7447422714566,955.624755859375,11909168,896.8050231933594,943.0422002132082,60.506774972004536,19.022247454890817,975.6373516132768,917.4741657207077
2025-11-28,959.5048346119848,965.5950698307024,955.8212318532206,961.6658935546876,8117842,899.7018078613281,944.8158852933491,66.90949835324653,18.248716724444876,975.1977751546497,922.2996857828502
2025-12-01,968.0017293926574,973.6499204475664,952.6779055144808,955.870361328125,8808306,901.9797473144531,945.8686925347563,61.498231563116285,16.9723898865127,973.4982196178069,927.5453228626618
2025-12-02,958.7190050026364,963.0902255716678,947.8155648906452,950.1730346679688,13444314,904.19875,946.2786298807765,55.76372373982934,15.32451357180696,972.8176834285986,929.9546920596828
2025-12-03,953.2672831530164,955.3300766986022,930.7727251822406,934.2107543945312,14051968,905.9413391113281,945.129308405896,48.541740893175266,12.585459758451975,973.3509731574546,928.7780002312173
2025-12-04,934.210767792634,935.6842089047472,927.7276508811244,931.31298828125,13622724,907.765458984375,943.813468394025,39.058174415154305,10.064892553670461,974.2317468239535,926.654624025656
2025-12-05,932.049720989894,956.0668234213828,929.9378246743456,954.2987060546876,17347847,909.7477294921875,944.8120624569452,49.14472879115279,9.80900806970078,974.4198268998678,928.0038364302104
2025-12-08,953.6601656790197,955.280974862374,934.8492703729216,939.466064453125,15386438,911.5197875976562,944.3029197899147,43.44096495188398,8.31351453632692,973.9913961099911,928.9479715657902
2025-12-09,937.8944043562336,946.9315221602762,933.6214489589804,942.3638305664062,9580294,913.4490124511718,944.118244625771,39.82611871711901,7.278251491736569,973.5988044728476,929.9348503123085
2025-12-10,943.1005538600858,946.8824221676224,938.3364513940754,942.7567749023438,6989178,915.4686096191406,943.9885808425875,40.455393247178385,6.415550916742177,973.4700763725579,930.3189739204109
2025-12-11,945.0651010209992,949.3872189119578,941.479763637212,946.1947631835938,5979035,917.2858532714844,944.1986934464928,45.70115917121089,5.940789691911846,972.9752412897478,931.7224271672835
2025-12-12,948.8960717352388,949.878365805358,941.0377191742843,946.0965576171876,5681930,919.067734375,944.3794424151305,46.513828209093035,5.493290400016122,972.9240251979328,931.3119672337078
2025-12-15,940.3010214625418,951.6956089709226,940.3010214625418,950.1239624023438,4416952,921.0942077636719,944.9265395567699,41.65393196274294,5.401358397489048,972.5544811036732,931.08231699203
