Date,Close,High,Low,Open,Volume,SMA_50,EMA_20,RSI_14,MACD,BB_up,BB_low
2016-09-19,281.2701721191406,286.2653944640604,279.6524311052763,284.35696391871954,1058260,297.5451739501953,289.7846454985557,27.720528742821173,-4.935348695932532,308.2724926982495,275.2822741474537
2016-09-20,281.38116455078125,282.9855781026581,280.65106807529355,281.7828368028788,430520,297.4032666015625,288.98431397972,30.04311684638695,-4.976733386507533,307.7106471171186,274.12474716999077
2016-09-21,280.1873474121094,282.714919685698,278.27669488686445,282.714919685698,628940,297.32533935546877,288.1465076399476,31.16006649864441,-5.047675655011517,306.59026563735404,273.14896165756784
2016-09-22,286.2787475585937,289.2834064911368,280.185048184705,281.9736652836507,684260,297.3027392578125,287.9686257274377,46.11782535216059,-4.559810176712347,304.79064067172345,273.3481502218312
2016-09-23,288.244873046875,290.12667547578394,284.15725945334884,288.70643853870115,1068960,297.37258056640627,287.9949349959556,50.30456784881661,-3.9687738208405676,302.7230312905483,273.9795474448033
2016-09-26,288.673095703125,289.5940323348156,284.09062532927004,288.88392753547635,491040,297.31457458496095,288.0595217299717,53.44635056471937,-3.4263227452761953,300.21551664077253,275.0419723728993
2016-09-27,287.96307373046875,288.92838203148364,284.58337049298257,288.44018822761416,472420,297.254951171875,288.0503362062095,45.35455298418994,-3.0189189802422334,297.1172925913917,276.61788502091304
2016-09-28,286.3786315917969,288.76195576856026,285.13593426042206,288.0851157571874,380440,297.10520324707034,287.89112624293216,49.391500549151296,-2.791718605819142,294.5049247513351,277.9038887252274
2016-09-29,281.96929931640625,289.59416622002146,276.29723505817486,287.1531425967109,691660,296.87993896484375,287.3271427261202,45.26164029454534,-2.93363976342971,292.29500541859704,278.62989082163733
2016-09-30,285.5043029785156,288.48458254649785,280.3138234429712,281.96927245594645,1297960,296.70406433105467,287.153538940634,45.49485330112708,-2.729405167276184,291.8042484651375,278.7092372526359
2016-10-03,293.894775390625,295.141915332766,285.5065206456589,285.5065206456589,615360,296.6679986572266,287.79556145968075,60.086968602995896,-1.868962540067173,293.07892123134116,278.02595547764327
2016-10-04,296.51544189453125,297.3609363654602,292.6608463626578,295.1418249000463,484380,296.5129803466797,288.62602626299986,68.33618092711659,-0.9644718427676935,295.07287969862114,277.102932068957
2016-10-05,300.71405029296875,301.7991991936627,293.5485297554727,296.6952421484757,342160,296.2552813720703,289.77726664680637,74.46233812674006,0.09009757114881722,297.4617402907935,275.64786969455804
2016-10-06,298.4061279296875,302.4604488939787,295.942919631294,300.6896022863028,263820,295.9087579345703,290.5990629594617,67.28752546960584,0.7311926491276495,299.2640640944506,275.00724327859626
2016-10-07,298.5970153808594,299.40255405004194,295.3815245408517,299.40255405004194,128280,295.5326922607422,291.3607727138805,72.95681047003225,1.2403699268497803,300.92059127239384,274.66464737506715
2016-10-10,294.3695983886719,301.1334462593215,293.0558745601836,297.4497263949044,153640,295.1498748779297,291.64732754005115,65.51623315782987,1.2879328780889523,301.51921097967085,274.61946699884476
2016-10-13,290.3885498046875,295.0975260798384,289.5941174566486,294.2542526800889,481120,294.5448248291016,291.52744394620703,61.42567583734102,0.9929434756012938,301.74507095389004,274.88936202950845
2016-10-14,305.2277526855469,307.3470155052244,289.90702168318063,290.3885516558599,815860,294.2799298095703,292.8322352547156,67.74604550081943,1.934264903172732,304.50193347534463,274.49719372192095
2016-10-17,299.9395446777344,303.79636151225867,297.3454163610724,303.1927696912,263280,294.1187408447266,293.5091218664317,60.31067829508465,2.227873190211767,305.45800723536115,275.56804562108414
2016-10-18,305.07916259765625,306.2375328510474,295.18634148221645,301.74382992334176,504360,294.1652990722656,294.61103050750074,63.3550189198213,2.842517315376142,307.53418784282644,275.56408486225166
2016-10-19,301.4685974121094,304.4178060354712,300.02395328061664,301.82587120641386,480260,294.19001953125,295.2641321174635,60.49814280542892,3.0036604491750154,308.3609140753048,276.7572011590702
2016-10-20,303.69879150390625,307.1250872784501,299.0874704696205,301.9989442018886,956020,294.2340478515625,296.0674330114104,63.3295270018587,3.2735896644692843,309.3042853481597,278.04559258152784
2016-10-21,304.86602783203125,306.01553974811304,300.9515381667712,303.13069419573776,234060,294.26161010742186,296.9053944228981,68.54675399669348,3.5408796722629177,309.93997551592656,279.8777704557531
2016-10-24,304.1669616699219,306.237382919882,302.3384159853854,303.9295015728781,184700,294.26023254394534,297.59697225594795,65.8450550953909,3.654177053787464,310.80097078691387,280.80559659589863
2016-10-25,301.53082275390625,304.7196866152021,300.77854029914494,302.9088830700136,1555040,294.1729370117188,297.9716246843249,57.18527486437406,3.491009481296487,311.2307625895642,281.70439976395136
2016-10-26,302.926513671875,303.5722828114839,299.1362803464448,299.9795536933144,833560,294.15580322265623,298.4435188736154,56.17496528606515,3.4347252230141976,311.73378703929484,282.6267171110958
2016-10-27,307.8773498535156,310.55136327220407,300.02391008085084,303.5700463406511,338800,294.23382690429685,299.3419789669392,56.80094107011957,3.7464242006958557,312.7990777924627,283.55285397023266
2016-10-28,310.0432434082031,310.6756849204658,304.0560834715819,307.8796091739356,491900,294.31455871582034,300.3611470089644,61.078324107328065,4.120716341980483,313.7914166119339,284.92697633240203
2016-11-01,301.5484313964844,308.9336416574823,297.64057893174527,307.3469713694824,664260,294.35458984375,300.4742217125377,52.42611672814408,3.6893566187816873,312.2376422477649,288.43866390457885
2016-11-02,299.9862365722656,301.3554385598009,296.031790527308,301.3554385598009,361340,294.4120208740234,300.4277469372737,54.828550590037835,3.1847332414798757,310.71063842485904,291.41386108685975
2016-11-03,298.1488342285156,301.57735178526747,295.85203140151725,299.1385496137967,337320,294.4304406738281,300.2107076316777,56.926715287428905,2.6065063829360042,310.43314855538813,292.1167568401197
2016-11-04,295.3216552734375,300.73404557031006,293.7216571108326,298.15102305618115,354340,294.3653759765625,299.7450835975595,38.7443592284652,1.8982459203334656,310.5184848778215,291.91204185557694
2016-11-07,286.6227111816406,299.5801089211104,282.0491247694306,295.5901500268677,471160,294.0748498535156,298.49533384366254,35.9573797080555,0.627775705326826,311.8789369604105,289.1424558618551
2016-11-08,286.3408203125,288.8817191853965,284.490088941215,286.79797027549535,257060,293.7560040283203,297.33776112640896,27.984958502504767,-0.3972481017502787,312.9090733589,286.9057887016468
2016-11-09,283.50927734375,286.704803773243,251.0281388100568,272.4625593225747,807420,293.37404968261717,296.02076267091763,28.506773117898632,-1.4216804597679698,314.0827256464797,284.2233626103562
2016-11-10,284.9383239746094,290.4062172861161,284.0906083165731,286.2653481535537,393880,293.0103363037109,294.96529231888826,27.109028175485918,-2.0940988955279067,314.7960868754568,282.5668739399729
2016-11-11,277.6220092773437,287.9519590745741,273.5277315067556,287.9519590745741,885140,292.499052734375,293.3135510768364,21.095077500103585,-3.1806957210986297,316.3967675161909,279.68953924650447
2016-11-15,264.4138488769531,279.3817479289328,262.3678341897827,277.8328121443121,2123260,291.7944842529297,290.5611984863713,16.670231721757858,-5.049413200752383,319.3807427085208,272.62417367331517
2016-11-16,264.76666259765625,269.8462126932717,264.0743008084989,266.2490411800756,3487720,291.15364807128907,288.1045760207794,17.949071319946313,-6.427820237567516,321.3669352503939,267.12069292343426
2016-11-17,264.4294128417969,267.58056852044297,263.31985670609885,267.58056852044297,1224200,290.6498681640625,285.849798575162,15.807271944665942,-7.461420372433452,321.8877436737037,262.5349095245385
2016-11-18,261.04302978515625,265.4058118354681,259.6804916811009,264.5181669798311,1223680,290.1111114501953,283.48724916659006,7.213167040911969,-8.456329435636746,322.59320127035244,257.78689516519444
2016-11-21,260.4372253417969,263.941212196718,258.74848419730245,261.6333300760031,577560,289.6037341308594,281.292008802324,3.351267831662895,-9.187774447181994,322.35203126319385,253.7019085561421
2016-11-22,261.5867614746094,263.65274105027413,259.6361529901473,261.8375222614756,1229640,289.00794799804686,279.4153185806369,6.397012205842387,-9.564439030280255,321.16135225436017,250.56466092923358
2016-11-23,262.5587463378906,266.29350296501565,260.52381040077364,261.58899524814404,2687520,288.52333984375,277.8099307479944,8.629260117822,-9.673012899394223,319.44140097170487,248.12379067868574
2016-11-24,271.7723693847656,277.4799450882182,260.4127499461758,260.4127499461758,541740,288.24963317871095,277.23492490387736,24.932306228755053,-8.91285425864288,317.31296019577786,247.27638611769865
2016-11-25,273.361328125,275.1699099671351,271.2731359814417,271.77243622130146,1269500,287.9401556396484,276.86601092493663,28.626276163353666,-8.088962839931298,314.6434003952977,246.9894273634914
2016-11-28,279.1154479980469,280.05190666800985,271.79682168097304,273.3169078326934,290800,287.8138446044922,277.0802430271376,42.248955490998,-6.892263842920727,310.7151829321759,248.0414546410663
2016-11-29,279.1198425292969,289.36324124051407,276.3348468887697,279.6080362014453,1588580,287.76462524414063,277.2744905987718,42.501570247252936,-5.8757842804575375,305.65267081805996,250.01162666729158
2016-11-30,279.15093994140625,284.0463136304901,277.4777480455385,279.16426761496604,877460,287.75423828125,277.4532000599751,45.19472251906445,-5.009955949009452,302.22019511404164,251.20435322580215
2016-12-01,278.90020751953125,280.7597972319263,275.729088039112,277.07829828275004,786900,287.64510314941407,277.5910102942185,43.16509384752394,-4.294508350343506,298.7435587516392,252.57238668293104
2016-12-02,276.5435791015625,278.3654889599741,275.67370430231017,278.3654889599741,1260320,287.5505712890625,277.49125494253695,48.624854266773205,-3.873025366493323,295.1131296152858,254.0422903065892
2016-12-05,276.45703125,282.5107492376699,271.8412666621855,278.4986038049329,422960,287.45208862304685,277.3927574480096,73.08018476733889,-3.505570716404975,291.7482613355205,255.52069618401072
2016-12-06,278.0946350097656,279.5991720633101,274.7593038264107,277.14484875868305,472500,287.410234375,277.45960293008164,74.34362712692013,-3.0470943149424556,290.4132193738715,256.0029305284722
2016-12-07,278.8069152832031,281.20576040403944,277.1669888558946,278.6671101940649,321820,287.2607977294922,277.58791839228365,75.9056946976912,-2.596344356770885,289.13198188727154,256.53077751214255
2016-12-08,280.9705810546875,282.9367105534505,278.76921273905424,278.9423099338724,385040,287.1153118896484,277.910076741084,87.56091556263202,-2.041004591740034,288.6914633171581,256.71742645334973
2016-12-09,282.6458740234375,284.44125020505794,278.7592688675393,281.65142409122484,312380,286.99476745605466,278.36110505368913,90.23821135244465,-1.4490084183057093,288.2367763641581,256.94286841123255
2016-12-12,280.9261779785156,281.77824168489224,278.71480448105484,280.59692155218545,162240,286.8540295410156,278.6053977131964,84.33037474917765,-1.1058645661408946,288.6927721579837,256.8172894875241
2016-12-13,281.6313781738281,282.0918862750315,280.31655245467,281.6958770085488,583800,286.75908447265624,278.8935863284947,84.18053820625624,-0.7681619362871857,289.516567021781,257.7152475534144
2016-12-14,277.4311218261719,282.8082886807768,275.42217970040144,281.80273132155736,401840,286.66832092285154,278.75430399494013,62.36265641167874,-0.8298893060292585,289.6673317888384,258.8309287092085
2016-12-15,274.83258056640625,279.02397290583093,272.9326757044884,275.8670875762983,473060,286.4548864746094,278.38080652555595,53.078441839734566,-1.0760848180759695,289.47823133804116,260.0603459324667
2016-12-16,272.09393310546875,277.0662092107142,263.0548358743323,276.9038079397103,995180,286.01886962890626,277.78205667602384,33.18649839597202,-1.4751775686366386,288.622549652935,262.02111794960405
