Date,Close,High,Low,Open,Volume,SMA_50,EMA_20,RSI_14,MACD,BB_up,BB_low
2014-09-17,2001.448486328125,2036.3307678730716,1976.188962706563,1984.679570494776,608929,1832.883359375,1920.7846859559063,68.35766427401032,42.23719271717596,2058.931868953603,1760.588773136241
2014-09-18,2117.451904296875,2130.046343512158,1993.170671160968,2002.368831872751,632305,1838.6408056640626,1939.514897226475,74.79702058605261,52.68458611981737,2091.6271799677024,1760.1259694463602
2014-09-19,2088.264892578125,2134.6802837206324,2080.5526596886043,2123.9961999456727,312955,1844.3257836914063,1953.6815634504414,64.56550069545847,57.94116308027924,2111.1833713350306,1768.415444582938
2014-09-22,2121.130859375,2129.515231225586,2075.458428771968,2080.198983744373,248109,1851.2472094726563,1969.6291154432565,65.0333735253235,64.02105220312365,2131.446505088707,1780.7987829972305
2014-09-23,2107.227294921875,2143.170902211193,2101.4254141852903,2119.114180297961,304207,1859.272607421875,1982.7337039650297,65.73243349926594,66.9457972039279,2145.657632981619,1795.505257643381
2014-09-24,2082.497802734375,2121.2361887701204,2064.6321543799904,2112.745583611601,313069,1866.8866479492187,1992.2350467049673,59.11627945202721,66.5016259935444,2149.547975504538,1818.399192464212
2014-09-25,2075.210205078125,2094.2080051058174,2052.2502258942814,2088.299889332234,647534,1874.228349609375,2000.1374427405062,64.30407592035377,64.81442849723476,2151.3060742332923,1840.1989550635828
2014-09-26,2049.703125,2076.3070948520367,2012.3445940477225,2069.620776683977,368889,1881.5473999023438,2004.857983908077,59.417864512097026,60.71917132441013,2145.5479242167057,1866.6246587911066
2014-09-29,2023.9486083984373,2062.934717810773,2015.245700966549,2058.760065384135,233169,1887.9960620117188,2006.6761386214446,58.94352368213158,54.7641887811958,2146.869537104075,1872.735907231863
2014-09-30,2009.1251220703125,2064.915377162025,1993.3112987850247,2023.77138334759,542336,1893.9691918945311,2006.9093751403843,63.65060668161086,48.292010514255026,2147.603965180105,1875.3022237847385
2014-10-01,2034.1722412109373,2070.823391042813,2017.580216813387,2038.4529562122984,447543,1899.6186450195312,2009.5058385756752,63.517071053716506,44.668940059758825,2149.3256582507347,1881.289270948484
2014-10-07,1986.9083251953125,2034.1727440318136,1980.15135455719,2034.1727440318136,301762,1904.1563598632813,2007.353694444212,54.12919197136195,37.550963468126156,2149.15060042885,1880.3004127547438
2014-10-08,1980.4696044921875,1995.1158678298275,1965.2218540286715,1982.5568442802291,431918,1908.5100439453124,2004.7933049249716,49.94726557759063,31.032639832060795,2148.468391919162,1883.6182535886503
2014-10-09,1994.549072265625,2005.9052902029623,1981.8485777278652,1981.8485777278652,495261,1912.6144677734376,2003.8176637193196,52.455253979674,26.695191223542224,2148.2839033811138,1886.4843095095111
2014-10-10,2010.1507568359373,2032.4385952169064,1956.3769245516955,1989.2780193045544,471438,1917.312099609375,2004.4208154447117,51.09189742238748,24.237265399416856,2147.161322417212,1894.0738704538817
