Date,Open,High,Low,Close,Volume,SMA_50,EMA_20,RSI_14,MACD,BB_up,BB_low
2025-11-27,985.795449877166,1000.2562876177888,984.713371288192,993.0750732421876,25536848,967.8286535644531,979.2050598418925,65.85085242885833,4.425652602096193,992.5433509062143,961.6454613496451
2025-11-28,990.615779865885,995.583602701878,987.8613487922536,991.2059936523438,15988807,968.6303930664062,980.3480059190783,63.5087907717941,4.84686415264116,994.1363725010515,960.9820601161359
2025-12-01,1000.944932017152,1000.944932017152,983.04104014366,985.7954711914062,16746566,969.3308081054688,980.8668121354905,56.20525722307328,4.690029653732381,994.9735573249905,961.6007957023533
2025-12-02,971.9249162739844,978.2208101938114,968.973727256958,973.6956176757812,27316662,969.584609375,980.1838412345658,50.15973723142842,3.5484755105633212,994.943362475161,961.3506255619483
2025-12-03,969.957416921422,985.992197910792,969.957416921422,984.2214965820312,15448777,970.2456750488282,980.5683798390862,56.80586848949204,3.4533282682876916,995.3512330821713,962.4429380604067
2025-12-04,983.7296507402166,988.3531921071142,976.8435431850352,980.9752197265624,14528169,970.8949365234375,980.6071264950363,53.72186338370437,3.080466283523947,995.2576004263487,963.771147132245
2025-12-05,975.8598190407668,991.5994935414244,974.0891176678616,986.9759521484376,12843366,971.8019348144531,981.2136813191697,53.33334967433412,3.2319238244596136,995.3261250829465,965.7684549951786
2025-12-08,983.7296369469886,990.123879587144,981.2703128546212,986.7791748046876,12901022,972.82599609375,981.7437283177906,55.46994002664072,3.2980587613099033,995.3336621862388,967.5906481164955
2025-12-09,978.7126738119038,986.4841021884776,977.82729309106,980.8768310546876,15294322,973.7556213378906,981.6611666736856,51.23519234471357,2.8414469310780532,995.3245146788076,968.131009002833
2025-12-10,981.2703481612342,982.2540778335764,969.268834150242,973.6956176757812,15322830,974.6360595703125,980.9025429595995,39.89388209194482,1.8784611315124948,995.301809292776,968.1832248869115
2025-12-11,973.892376646044,986.3857555063868,972.4167821359742,984.0247802734376,11844809,975.6197900390625,981.1998988942507,51.19744028318023,1.9265568959791608,994.9399042196039,969.8879156046148
2025-12-12,986.6808557305644,988.3532081724248,981.9589653386772,985.2052612304688,11988618,976.6133569335938,981.5813619738906,51.249338651389785,2.036453119458656,994.84684848934,971.1516134247225
2025-12-15,975.8597989154724,985.5003373398883,975.8597989154724,979.89306640625,9790060,977.2203173828125,981.4205719198295,53.49609104662715,1.6755818770110409,994.8472985054951,971.1068946097392
